sentence1	sentence2	paraphrase_types	sentence1_segment_location	sentence2_segment_location	sentence1_tokenized	sentence2_tokenized	id
But tropical storm warnings and watches were posted today for Haiti, western portions of the Dominican Republic, the southeastern Bahamas and the Turk and Caicos islands.	Tropical storm warnings were in place Thursday for Jamaica and Haiti and watches for the western Dominican Republic, the southeastern Bahamas and the Turks and Caicos islands.	[2, 3, 4, 6, 7, 0, 0]	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]	[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]	['But', 'tropical', 'storm', 'warnings', 'and', 'watches', 'were', 'posted', 'today', 'for', 'Haiti', ',', 'western', 'portions', 'of', 'the', 'Dominican', 'Republic', ',', 'the', 'southeastern', 'Bahamas', 'and', 'the', 'Turk', 'and', 'Caicos', 'islands', '.']	['Tropical', 'storm', 'warnings', 'were', 'in', 'place', 'Thursday', 'for', 'Jamaica', 'and', 'Haiti', 'and', 'watches', 'for', 'the', 'western', 'Dominican', 'Republic', ',', 'the', 'southeastern', 'Bahamas', 'and', 'the', 'Turks', 'and', 'Caicos', 'islands', '.\n']	b2356f6a18a8419a9c7bcf6a79a28453
A federal magistrate in Fort Lauderdale ordered him held without bail.	Zuccarini was ordered held without bail Wednesday by a federal judge in Fort Lauderdale, Fla.	[2, 4, 6, 7, 0, 0, 0]	[4, 4, 4, 4, 4, 4, 4, 4, 4, 7, 7, 7]	[4, 4, 4, 4, 0, 0, 0, 4, 4, 4, 4, 4, 4, 4, 7, 7, 0]	['A', 'federal', 'magistrate', 'in', 'Fort', 'Lauderdale', 'ordered', 'him', 'held', 'without', 'bail', '.']	['Zuccarini', 'was', 'ordered', 'held', 'without', 'bail', 'Wednesday', 'by', 'a', 'federal', 'judge', 'in', 'Fort', 'Lauderdale', ',', 'Fla', '.\n']	44720fca15944d42a745ecfa9e05bbf5
Six months ago, the IMF and Argentina struck a bare-minimum $6.8-billion debt rollover deal that expires in August.	But six months ago, the two sides managed to strike a $6.8-billion debt rollover deal, which expires in August.	[2, 3, 6, 7, 0, 0, 0]	[7, 7, 7, 7, 0, 2, 2, 2, 3, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7]	[7, 7, 7, 7, 7, 0, 2, 2, 3, 3, 3, 7, 7, 7, 7, 7, 7, 0, 2, 7, 7, 7, 7]	['Six', 'months', 'ago', ',', 'the', 'IMF', 'and', 'Argentina', 'struck', 'a', 'bare-minimum', '$', '6.8-billion', 'debt', 'rollover', 'deal', 'that', 'expires', 'in', 'August', '.']	['But', 'six', 'months', 'ago', ',', 'the', 'two', 'sides', 'managed', 'to', 'strike', 'a', '$', '6.8-billion', 'debt', 'rollover', 'deal', ',', 'which', 'expires', 'in', 'August', '.\n']	d28d830c9f2e451eb1340577632833c0
Inhibited children tend to be timid with new people, objects, and situations, while uninhibited children spontaneously approach them.	Simply put, shy invividuals tend to be more timid with new people and situations.	[2, 6, 7, 0, 0, 0, 0]	[2, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[7, 7, 7, 2, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	['Inhibited', 'children', 'tend', 'to', 'be', 'timid', 'with', 'new', 'people', ',', 'objects', ',', 'and', 'situations', ',', 'while', 'uninhibited', 'children', 'spontaneously', 'approach', 'them', '.']	['Simply', 'put', ',', 'shy', 'invividuals', 'tend', 'to', 'be', 'more', 'timid', 'with', 'new', 'people', 'and', 'situations', '.\n']	7298630e855d48878d84752689da257b
I wanted to bring the most beautiful people into the most beautiful building, he said Sunday inside the Grand Central concourse.	"""I wanted to bring the most beautiful people into the most beautiful building,"" Tunick said Sunday."	[2, 5, 6, 7, 0, 0, 0]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 2, 6, 6, 7, 7, 7, 7, 7, 6]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 2, 7, 7, 6]	['I', 'wanted', 'to', 'bring', 'the', 'most', 'beautiful', 'people', 'into', 'the', 'most', 'beautiful', 'building', ',', 'he', 'said', 'Sunday', 'inside', 'the', 'Grand', 'Central', 'concourse', '.']	"['``', 'I', 'wanted', 'to', 'bring', 'the', 'most', 'beautiful', 'people', 'into', 'the', 'most', 'beautiful', 'building', ',', ""''"", 'Tunick', 'said', 'Sunday', '.\n']"	e41b1961e8ab4ff6b35d9c06687adfd1
Singapore is already the United States' 12th-largest trading partner, with two-way trade totaling more than $34 billion.	Although a small city-state, Singapore is the 12th-largest trading partner of the United States, with trade volume of $33.4 billion last year.	[3, 6, 7, 0, 0, 0, 0]	[7, 7, 7, 3, 3, 3, 3, 3, 3, 3, 7, 7, 3, 3, 7, 7, 7, 7, 7, 7, 0]	[7, 7, 7, 7, 7, 7, 7, 3, 3, 3, 3, 3, 3, 3, 3, 7, 7, 3, 3, 0, 7, 7, 7, 7, 7, 7]	"['Singapore', 'is', 'already', 'the', 'United', 'States', ""'"", '12th-largest', 'trading', 'partner', ',', 'with', 'two-way', 'trade', 'totaling', 'more', 'than', '$', '34', 'billion', '.']"	['Although', 'a', 'small', 'city-state', ',', 'Singapore', 'is', 'the', '12th-largest', 'trading', 'partner', 'of', 'the', 'United', 'States', ',', 'with', 'trade', 'volume', 'of', '$', '33.4', 'billion', 'last', 'year', '.\n']	d79083391e9242a198ee36c8a665381d
The AFL-CIO is waiting until October to decide if it will endorse a candidate.	The AFL-CIO announced Wednesday that it will decide in October whether to endorse a candidate before the primaries.	[2, 4, 6, 7, 0, 0, 0]	[4, 4, 4, 4, 4, 4, 4, 4, 2, 0, 0, 7, 7, 7, 7]	[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 0, 0, 0, 0, 7, 7, 7, 0]	['The', 'AFL-CIO', 'is', 'waiting', 'until', 'October', 'to', 'decide', 'if', 'it', 'will', 'endorse', 'a', 'candidate', '.']	['The', 'AFL-CIO', 'announced', 'Wednesday', 'that', 'it', 'will', 'decide', 'in', 'October', 'whether', 'to', 'endorse', 'a', 'candidate', 'before', 'the', 'primaries', '.\n']	a2134bc8d65c41b98113a74583e5d351
The largest gains were seen in prices, new orders, inventories and exports.	Sub-indexes measuring prices, new orders, inventories and exports increased.	[6, 7, 0, 0, 0, 0, 0]	[6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[7, 7, 6, 6, 6, 6, 6, 6, 6, 6, 0, 6]	['The', 'largest', 'gains', 'were', 'seen', 'in', 'prices', ',', 'new', 'orders', ',', 'inventories', 'and', 'exports', '.']	['Sub-indexes', 'measuring', 'prices', ',', 'new', 'orders', ',', 'inventories', 'and', 'exports', 'increased', '.\n']	5fffe0e1e26b4a1ba0a20ff35d5b303e
Trading in Loral was halted yesterday; the shares closed on Monday at $3.01.	The New York Stock Exchange suspended trading yesterday in Loral, which closed at $3.01 Friday.	[2, 4, 5, 6, 0, 0, 0]	[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]	[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]	['Trading', 'in', 'Loral', 'was', 'halted', 'yesterday', ';', 'the', 'shares', 'closed', 'on', 'Monday', 'at', '$', '3.01', '.']	['The', 'New', 'York', 'Stock', 'Exchange', 'suspended', 'trading', 'yesterday', 'in', 'Loral', ',', 'which', 'closed', 'at', '$', '3.01', 'Friday', '.\n']	ffd14c074abc4fd6951dfded0ff58121
He plans to have dinner with troops at Kosovo's U.S. military headquarters, Camp Bondsteel.	After that, he plans to have dinner at Camp Bondsteel with U.S. troops stationed there.	[6, 7, 0, 0, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 7, 7, 0]	"['He', 'plans', 'to', 'have', 'dinner', 'with', 'troops', 'at', 'Kosovo', ""'s"", 'U.S.', 'military', 'headquarters', ',', 'Camp', 'Bondsteel', '.']"	['After', 'that', ',', 'he', 'plans', 'to', 'have', 'dinner', 'at', 'Camp', 'Bondsteel', 'with', 'U.S.', 'troops', 'stationed', 'there', '.\n']	121727aa9797459a85bd3133e98872c7
Prosecutors filed a motion informing Lee they intend to seek the death penalty.	He added that prosecutors will seek the death penalty.	[1, 6, 7, 0, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 0, 1, 1, 1, 7, 7, 7, 7]	[7, 7, 7, 7, 1, 1, 7, 7, 7, 7]	['Prosecutors', 'filed', 'a', 'motion', 'informing', 'Lee', 'they', 'intend', 'to', 'seek', 'the', 'death', 'penalty', '.']	['He', 'added', 'that', 'prosecutors', 'will', 'seek', 'the', 'death', 'penalty', '.\n']	78c6298876ba4e7d8d09e83e9cb3c42b
Last year the court upheld Cleveland's school voucher program, ruling 5-4 that vouchers are constitutional if they provide parents a choice of religious and secular schools.	Last year, the court ruled 5-4 in an Ohio case that government vouchers are constitutional if they provide parents with choices among a range of religious and secular schools.	[1, 2, 5, 6, 7, 0, 0]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	[6, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 6, 6, 6, 6, 6, 2, 6, 2, 1, 7, 7, 7, 6, 6, 6, 6, 6, 6]	"['Last', 'year', 'the', 'court', 'upheld', 'Cleveland', ""'s"", 'school', 'voucher', 'program', ',', 'ruling', '5-4', 'that', 'vouchers', 'are', 'constitutional', 'if', 'they', 'provide', 'parents', 'a', 'choice', 'of', 'religious', 'and', 'secular', 'schools', '.']"	['Last', 'year', ',', 'the', 'court', 'ruled', '5-4', 'in', 'an', 'Ohio', 'case', 'that', 'government', 'vouchers', 'are', 'constitutional', 'if', 'they', 'provide', 'parents', 'with', 'choices', 'among', 'a', 'range', 'of', 'religious', 'and', 'secular', 'schools', '.\n']	2223016454ad4de9b62c55dd437484cb
Sorkin, who faces charges of conspiracy to obstruct justice and lying to a grand jury, was to have been tried separately.	Sorkin was to have been tried separately on charges of conspiracy and lying to a grand jury.	[4, 6, 7, 0, 0, 0, 0]	[0, 4, 4, 4, 4, 4, 4, 7, 7, 7, 0, 4, 4, 4, 4, 4, 4, 0, 0, 0, 0, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 7, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 7]	['Sorkin', ',', 'who', 'faces', 'charges', 'of', 'conspiracy', 'to', 'obstruct', 'justice', 'and', 'lying', 'to', 'a', 'grand', 'jury', ',', 'was', 'to', 'have', 'been', 'tried', 'separately', '.']	['Sorkin', 'was', 'to', 'have', 'been', 'tried', 'separately', 'on', 'charges', 'of', 'conspiracy', 'and', 'lying', 'to', 'a', 'grand', 'jury', '.\n']	7d5c32fe7c9743219ccff735b205d6a5
The US chip market is expected to decline 2.1 percent this year, then grow 15.7 percent in 2004.	The Americas market will decline 2.1 percent to $30.6 billion in 2003, and then grow 15.7 percent to $35.4 billion in 2004.	[1, 2, 4, 6, 7, 0, 0]	[7, 4, 7, 7, 4, 4, 4, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[7, 4, 7, 4, 4, 7, 7, 7, 7, 7, 7, 4, 4, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	['The', 'US', 'chip', 'market', 'is', 'expected', 'to', 'decline', '2.1', 'percent', 'this', 'year', ',', 'then', 'grow', '15.7', 'percent', 'in', '2004', '.']	['The', 'Americas', 'market', 'will', 'decline', '2.1', 'percent', 'to', '$', '30.6', 'billion', 'in', '2003', ',', 'and', 'then', 'grow', '15.7', 'percent', 'to', '$', '35.4', 'billion', 'in', '2004', '.\n']	f32a30200a584cf6b3b966f14bc13771
The group will be headed by State Department official John S. Wolf, who has served in Australia, Vietnam, Greece and Pakistan.	The group will be headed by John S. Wolf, an assistant secretary of state who has served in Australia, Vietnam, Greece and Pakistan.	[2, 3, 6, 0, 0, 0, 0]	[6, 6, 6, 6, 6, 6, 3, 3, 3, 3, 3, 3, 0, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	[6, 6, 6, 6, 6, 6, 3, 3, 3, 3, 3, 3, 3, 3, 3, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	['The', 'group', 'will', 'be', 'headed', 'by', 'State', 'Department', 'official', 'John', 'S.', 'Wolf', ',', 'who', 'has', 'served', 'in', 'Australia', ',', 'Vietnam', ',', 'Greece', 'and', 'Pakistan', '.']	['The', 'group', 'will', 'be', 'headed', 'by', 'John', 'S.', 'Wolf', ',', 'an', 'assistant', 'secretary', 'of', 'state', 'who', 'has', 'served', 'in', 'Australia', ',', 'Vietnam', ',', 'Greece', 'and', 'Pakistan', '.\n']	195a0a48f0364115bae9f4db36d51f61
The company has said it plans to restate its earnings for 2000 through 2002.	The company had announced in January that it would have to restate earnings for 2002, 2001 and perhaps 2000.	[1, 2, 3, 5, 6, 7, 0]	[7, 7, 5, 5, 7, 5, 5, 7, 5, 5, 6, 6, 6, 6, 7]	[6, 6, 5, 5, 7, 7, 5, 6, 5, 5, 6, 6, 5, 5, 5, 5, 5, 5, 5, 5, 6]	['The', 'company', 'has', 'said', 'it', 'plans', 'to', 'restate', 'its', 'earnings', 'for', '2000', 'through', '2002', '.']	['The', 'company', 'had', 'announced', 'in', 'January', 'that', 'it', 'would', 'have', 'to', 'restate', 'earnings', 'for', '2002', ',', '2001', 'and', 'perhaps', '2000', '.\n']	c6e61dd73ade4dba997d8366f7d1e481
Results from No. 2 U.S. soft drink maker PepsiCo Inc. PEP.N were likely to be in the spotlight.	Results from No. 2 U.S. soft drink maker PepsiCo Inc. (nyse: PEP - news - people) were likely to be in the spotlight.	[2, 5, 6, 0, 0, 0, 0]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6]	['Results', 'from', 'No', '.', '2', 'U.S.', 'soft', 'drink', 'maker', 'PepsiCo', 'Inc.', 'PEP.N', 'were', 'likely', 'to', 'be', 'in', 'the', 'spotlight', '.']	['Results', 'from', 'No', '.', '2', 'U.S.', 'soft', 'drink', 'maker', 'PepsiCo', 'Inc.', '(', 'nyse', ':', 'PEP', '-', 'news', '-', 'people', ')', 'were', 'likely', 'to', 'be', 'in', 'the', 'spotlight', '.\n']	b9edb5a95ae84f628c099213646da1c7
"""The result is an overall package that will provide significant economic growth for our employees over the next four years."""	"""The result is an overall package that will provide a significant economic growth for our employees over the next few years,"" he said."	[2, 3, 6, 7, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 3, 3, 7, 7, 7, 7, 7, 7, 2, 7, 0, 7]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 0, 0, 0, 0, 0, 0, 2, 0, 7, 0, 7, 7, 0]	"['``', 'The', 'result', 'is', 'an', 'overall', 'package', 'that', 'will', 'provide', 'significant', 'economic', 'growth', 'for', 'our', 'employees', 'over', 'the', 'next', 'four', 'years', '.', ""''""]"	"['``', 'The', 'result', 'is', 'an', 'overall', 'package', 'that', 'will', 'provide', 'a', 'significant', 'economic', 'growth', 'for', 'our', 'employees', 'over', 'the', 'next', 'few', 'years', ',', ""''"", 'he', 'said', '.\n']"	6dfaac7a8af145b184c3c95ca47efca1
Wal-Mart said it would check all of its million-plus domestic workers to ensure they were legally employed.	It has also said it would review all of its domestic employees more than 1 million to ensure they have legal status.	[1, 2, 6, 7, 0, 0, 0]	[2, 1, 7, 7, 2, 7, 7, 7, 2, 7, 2, 7, 7, 6, 6, 6, 6, 7]	[2, 1, 7, 1, 6, 6, 2, 6, 6, 6, 6, 2, 2, 2, 2, 2, 6, 6, 0, 0, 0, 0, 6]	['Wal-Mart', 'said', 'it', 'would', 'check', 'all', 'of', 'its', 'million-plus', 'domestic', 'workers', 'to', 'ensure', 'they', 'were', 'legally', 'employed', '.']	['It', 'has', 'also', 'said', 'it', 'would', 'review', 'all', 'of', 'its', 'domestic', 'employees', 'more', 'than', '1', 'million', 'to', 'ensure', 'they', 'have', 'legal', 'status', '.\n']	1c699e0d898240bca1c4e67e635a60cd
The songs are on offer for 99 cents each, or $9.99 for an album.	The company will offer songs for 99 cents and albums for $9.95.	[1, 2, 4, 5, 6, 7, 0]	[4, 4, 4, 4, 4, 6, 6, 6, 7, 0, 2, 6, 6, 4, 4, 4, 6]	[4, 4, 4, 4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 7]	['The', 'songs', 'are', 'on', 'offer', 'for', '99', 'cents', 'each', ',', 'or', '$', '9.99', 'for', 'an', 'album', '.']	['The', 'company', 'will', 'offer', 'songs', 'for', '99', 'cents', 'and', 'albums', 'for', '$', '9.95', '.\n']	1d1da943bef547599a22ee2daa8b8f50
However, the talk was downplayed by PBL which said it would focus only on smaller purchases that were immediately earnings and cash flow accretive.	The talk, however,has been downplayed by PBL which said it would focus only on smaller purchases that were immediately earnings and cash flow-accretive.	[1, 2, 6, 7, 0, 0, 0]	[7, 7, 6, 6, 1, 1, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 2, 2, 6]	[6, 6, 7, 7, 7, 1, 1, 1, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 2, 6]	['However', ',', 'the', 'talk', 'was', 'downplayed', 'by', 'PBL', 'which', 'said', 'it', 'would', 'focus', 'only', 'on', 'smaller', 'purchases', 'that', 'were', 'immediately', 'earnings', 'and', 'cash', 'flow', 'accretive', '.']	['The', 'talk', ',', 'however', ',', 'has', 'been', 'downplayed', 'by', 'PBL', 'which', 'said', 'it', 'would', 'focus', 'only', 'on', 'smaller', 'purchases', 'that', 'were', 'immediately', 'earnings', 'and', 'cash', 'flow-accretive', '.\n']	52315bf222964b5691579468892a1188
