id	sentence1	sentence2	similarity
1291bfef-e969-4c55-bdee-d4a4b5a885eb	A woman in a plaid outfit is looking through a bag of produce.	This is the picture of a woman in a flowered dress, toting something in a bucket.	1.0
4bb92d5b-96ef-4105-8926-d16e534fca5e	No it does not affect your ratings.	No it is not.	0.0
aa8e710f-c061-44df-864d-13495c4d1ae2	A female DJ holds up a Michael Jackson album.	a girl holding a picture of Michael Jackson smiling	3.0
2f6c0f2b-f58a-41f2-92a8-429d8f15c866	A man is playing the guitar.	A person is slicing a meat into pieces.	0.0
63401975-0952-47d8-a043-1e7d2b193b65	The life expectancy for boys born in 2001 was 74.4 years, up two years since 1990.	According to the report, average life expectancy has increased by nearly two years since 1990.	3.5
822f6b91-5f71-4e22-9f29-c87e33cb678a	a red and white race car racing on a dirt racetrack.	A person is riding a dirt bike in a race on a dirt track.	1.4
7d1dc02c-fb51-4afe-91d2-966315a5aeb2	A boy rode his bike on top of a metal fence.	A BMX biker rides along the top of a fence.	3.0
c1d6bf7f-febe-4db8-8c97-a17105ebf872	A man is sweeping the floor of a house using a long broom.	The man swept the empty living room.	3.333
1aaeda32-de0a-41ee-8ade-d5127d68424f	I don't think we have a solid theory of mammal speciation.	The short answer is that evolution couldn't create gills in humans.	0.8
0c88668c-1534-4004-9de5-048ae1a15d14	Scribner's body was found floating in the city's Portage Bay, where he lived with his wife in a houseboat.	A kayaker found Dr. Scribner's body floating near the doctor's houseboat in Portage Bay, where he was eating lunch when his wife, Ethel, left for an appointment.	3.2
16a35d70-fb85-48ff-ac0f-0b7b934a376d	Someone slices a bottle with a sword.	A man breaks a bottle with a sword.	4.0
06704d5c-7b3a-4150-ab4e-131f5d77e71c	A woman in a pink bikini is laying on a deck lounge chair that is covered with a pink towel.	A woman in a white shirt and black skirt on a tennis court.	1.4
0f779e68-0f4c-4265-9cdc-7d8153c0f7e0	Syrian troops kill 35 in Damascus suburb	Activists: Syrian troops kill dozens near Damascus	3.6
6b284ab6-6602-4b1d-a187-56baccd175b9	A man performs on a stage.	A man guts a fish.	0.4
229bfe50-d22c-4b7e-ac81-901d2d3b2090	Captain Robert Ramsey of the US 1st Armoured Division said a truck had exploded outside the building about 11am, and that one of the compound's outer walls had collapsed.	Captain Robert Ramsey of US 1St Armored Division said a truck had exploded outside the building at around 11 am.	3.2
cd9cc7ce-774d-4c05-a3fd-451f4ffae027	A puppy is sliding backwards along the floor.	A puppy is pushing itself backwards.	3.8
82c37699-51e9-4324-87e1-135c53cbe05a	A home office with three computer monitors and other equipment on a desk.	Room with several computer monitors.	3.0
4cea8592-0d8b-4182-827b-e93f07b3d880	A man is speaking.	A man is cooking.	0.8
7372cfe2-03fe-4a26-a0e5-13dcf7e6fc00	They made a similar discovery in Houston on another aircraft, Dallas-based Southwest said in a statement.	The airline said a similar discovery was made on the plane in Houston.	3.4
fd4e2f15-092e-47f8-b71c-a560590418a2	Police using pepper spray arrested 12 people Monday night at a march and rally by about 400 activists protesting an annual training seminar of the Law Enforcement Intelligence Unit.	Police used pepper spray and rubber bullets to disperse a downtown march and rally last night by activists protesting an annual police intelligence-training seminar.	3.6
027b3af4-dc84-4f08-b4e1-4b229a3ba079	It depends on what you want to do next, and where you want to do it.	It depends on what and where you are going to do.	4.0
484317f4-0c1e-44a4-bf7d-181007e223e5	It's not a good idea.	No, it's not a good thing.	4.0
54b7c211-77b2-420c-b3c0-0d83c5e41928	Suarez set for Cup comeback	French set for Mali ground combat	0.8
122bf8c9-e251-4ee9-9f9f-06ba10a2c606	in an armed clash iranian police kill 4 alleged drug traffickers, arrest 2, and seize nearly 5 metric tons of opium and morphine.	during armed clashes in southeastern iran police seized nearly 5 metric tons (5.5 tons) of opium and morphine.	3.2
b0d4c5db-98eb-4d6e-8384-a21acb9f5d26	France Hails Breakthrough after U.S.-Russia Deal on Syria Weapons	France Welcomes US-Russia Deal on Syria	4.0
017fa61b-ec1a-4b2e-893c-f4bb517fb046	A nationally board certified teacher with a master's degree, Kelley makes a salary of $65,000 in his 30th year.	A nationally board certified teacher with a master's degree, Kelley, in his 30th year teaching, makes $65,000.	4.75
8b7c870e-9c0a-42b9-bcd7-2847ccbb7427	The man set up his camera to take sunset pictures at the beach.	A man is taking pictures of a lake.	2.2
a9268fb4-351c-4832-9fbb-394b2f63041e	A man is kicking a soccer ball.	A man is performing tricks with a soccer ball.	2.6
8713eb4c-725f-4a6d-878e-1bbf738d0365	A man reels in a fish.	A woman is pouring oil in a bowl.	0.0
7d03bcde-7bd0-4cd4-96d4-982243c01fe4	"""Now, the other guy, he's ashamed of his party,"" Street said to crowd laughter."	"""The other guy, he's ashamed of his party, and I don't blame him."	3.5
4bf5b566-a8da-44e4-bf6c-a735407f1f61	A man is playing a flute.	A man is playing a bamboo flute.	3.867
14e88e6a-76f8-4944-ad0d-6025d5c87224	A field of black faced sheep.	A black faced sheep.	2.8
b8d144d6-d522-4e66-97a9-f5ee6131736a	How could be you so sure that the fish died a natural death.	In my 200 L fresh water tank, which is an aggressive tank, fish occasionally get harassed to death.	1.4
fb72da1d-2a63-499c-9b78-9b84ebd7f7fa	"In a not-too-subtle swipe at Dean, he predicted Americans would not elect a Democrat ""who sounds an uncertain trumpet in these dangerous times."""	"They will not elect as president a Democrat who sounds an uncertain trumpet in these dangerous times."""	3.5
3c14c027-1a70-4c06-9b87-508d7b1749a0	Typhoon Fitow makes landfall in east China	Typhoon Fitow slams into southeastern China	3.8
eb45294e-c4c8-4c92-b46b-0a75e4be8e41	Smugglers in a van chased down a pickup and SUV carrying other smugglers and illegal immigrants, said Pinal County Sheriff Roger Vanderpool.	People in a van opened fire on a pickup and SUV believed to be transporting illegal immigrants, said Pinal County Sheriff Roger Vanderpool.	3.167
cb1492b7-e722-4a23-bd40-a33ebb8cb84e	"""Would you like to pay for others health care?"""	"""Would you like to wear your seatbelt?"""	0.0
1bc7eff6-6ea7-4cd9-bbc1-609823e4ac54	Is Madeleine McCann Still Alive?	Reopen Madeleine case, police urge	0.6
94ba125c-f6d6-4d57-81ba-fa316d2af695	Two NATO soldiers killed in Afghanistan	NATO Soldier Killed in Afghan Blast	3.6
13a89155-8b8c-4616-887e-37bffa4e887d	Police fire tear gas at protesters in Bangkok	Police fire tear gas at protesters	3.0
7c2ababd-ab38-47be-8ed0-17fba9e7d0ff	Two women shopping at a clothing store.	Two women in a clothing store.	4.6
fc08899e-26ad-46ac-a245-3bb1eccfdc67	The monkey is hanging from the trees.	The monkey swung from branch to branch.	2.0
8c56cb95-d35d-4719-bc9b-b12215024598	Singapore stocks end up 0.11 pct	Singapore stocks end down 0.45%	1.6
50a03d1c-cb7b-4d1a-a9ee-9e1a055e7818	But the country is scrambling to prevent it spreading to the vast countryside where most of its 1.3 billion people live.	China is scrambling to stop the disease from spreading to the countryside, where most of its 1.3 billion people live.	3.4
983cdc1d-19a5-49aa-98c0-957ce63e1c43	Dealers said the single currency's downward momentum against the dollar could pick up speed if it broke below $1.15.	Dealers said the euro's downward momentum may pick up speed should it break below $1.15.	3.6
256d8029-a0bb-4ba9-a56f-9c2efc1ed802	Syrian forces shoot civilians on bus	Syrian forces, rebels clash near Turkey	0.8
fb5cd11b-8fd5-433e-957f-8dd25116ac5e	Two dogs running together and one has a duck toy in its mouth.	a black and white dog walking through the grass with a long stick in his mouth.	1.8
7c048bcc-b8c1-4169-a32d-25bc85c71130	A rat like creature is smelling around.	An animal is walking on the ground.	2.0
b6e1fdd4-5dac-476d-a3a2-1dcd502ff7f9	french energy and transport company alstom may sign a contract to build a high-speed rail link between beijing and shanghai.	alstom may sign a contract to build a high-speed rail link between beijing and shanghai.	4.0
2ebebaa4-5173-4f12-abc6-9bb263965d2e	north korea has claimed nuclear ambitions and currently north korea is reported to have missiles aimed at japan.	north korea has boasted of nuclear ambitions and north korea is now reported to have missiles trained on	4.0
86fbb3a6-96d6-4bb3-a456-7fb494134b73	A cartoon woman dives into a pool.	A cartoon woman is diving off a board.	2.8
678bcf8d-eb91-4a95-a76b-b9d47a1b028a	Shares of Hartford rose $2.88 to $46.50 in New York Stock Exchange composite trading.	Shares of Hartford were up $2.28, or 5.2 percent, to $45.90 in midday trading.	2.5
fd46e31b-da67-4717-a10b-d4ddeea8f766	Syrian regime denies role in Houla massacre	Syria blames rebels for Houla massacre of over 100	3.0
ee3a8dbf-2a91-4dfe-9174-2f1d7e7ff80b	Large-format cameras are very much worth buying used; they're often extremely well-cared-for, if not coddled.	If I had to pick, Linhof would be my choice.	0.6
1c33b79c-4968-4cf3-8f56-e897be406a29	Philippine quake death toll climbs to 73	Death toll in Philippines quake jumps to 85	2.8
9782fbbc-5cfe-4f6f-a0ff-1ee46b71fa0a	It is possible, but it will have to be a docile female betta and a bigish tank.	We tried putting a male betta in a community tank once.	2.4
f38aaa8f-f1ab-494d-b359-094877460fe0	PG&E Corp. shares were up 39 cents or 2.6 percent at $15.59 on the New York Stock Exchange on Tuesday.	PG&E's shares gained 24 cents to $15.44 during Tuesday's trading on the New York Stock Exchange.	2.2
97c50025-9dc3-40d6-aed6-dd14c66089fa	A black dog running into the water.	A black dog running through water.	4.6
86c3a678-39e1-41c1-8f12-9d520dc31168	Syrian PM Survives Bomb Attack	Syrian PM survives bomb attack in capital	3.8
97f38825-e91b-4084-bce3-8745703b1f13	Appellate courts across the country have issued differing rulings on the issue, allowing public displays of the Ten Commandments in some cases and banning them in others.	Lower courts have splintered on the issue, allowing depictions of the Ten Commandments in some instances and not in others.	4.25
086d12c2-51b0-44f9-afdf-41043dedd66a	US Senate confirms Janet Yellen as US Federal Reserve chief	Senate confirms Janet Yellen as next Federal Reserve Chair	5.0
7bfff86c-e6f9-4f2f-aeac-1bf23156d035	But Senate criticism of the House plan Tuesday came on several fronts.	And several Senate Republicans are cranky about the House map.	2.75
4e201921-e5e7-4f16-a51f-c8f89bddfa58	Its shares jumped to $54.50 in pre-open trading from $50.90 at Wednesday's close.	Shares jumped almost 7 percent in pre-open trading, rising to $18.26 from $17.05 at Tuesday's close.	2.5
6ae00568-5cf0-4bfb-a71c-4186377409c5	A woman is slicing garlics.	A woman is slicing an onion.	2.2
92d68727-fd8b-4e0a-b41a-81b3c636f2fd	US stocks fall as Greek talks lumber; Apple falls	US stocks slip on Wall Street as Greek talks drag on	3.2
a9365b4e-a35e-4930-8dcf-89cf6057b6bd	My guess is that means your cat only marginally likes the food you're feeding him.	Some researchers believe domestic cats never really mentally grow up completely and they always look at you like their mom.	0.6
8f0eb1aa-9130-422a-b977-a1814b46d005	the gang engaged in illegal activities including racketeering, blackmail, arms smuggling, cigarette smuggling and money laundering and allegedly used proceeds to fund terrorist groups in chechnya.	the dans stated the gang engaged in illegal activities including racketeering, blackmail, arms smuggling, cigarette smuggling and money laundering.	3.0
e48f74e7-0f17-4b96-bfe4-1048767056fd	after the first meeting between leaders of the european union and leaders from albania, bosnia and herzegowina, croatia, macedonia and serbia and montenegro, leaders from the western balkan countries pledge to diminish organized crime and corruption in the balkans to meet requirements of european union membership.	leaders from albania, bosnia and herzegowina, croatia, macedonia and serbia and montenegro met for the first time with european union leaders to pursue joining the european union.	3.2
